time,velocity,altitude,anomaly_flg,anomaly_desc
0.0,0.0,0.2,N,
0.033,1.0,0.2,N,
0.066,1.0,0.2,N,
0.1,1.0,0.2,N,
0.133,1.0,0.2,N,
0.166,1.0,0.2,N,
0.2,2.0,0.2,N,
0.233,2.0,0.2,N,
0.266,2.0,0.2,N,
0.3,2.0,0.2,N,
0.333,2.0,0.2,N,
0.367,2.0,0.2,N,
0.4,2.0,0.2,N,
0.433,2.0,0.2,N,
0.467,2.0,0.2,N,
0.5,2.0,0.2,N,
0.533,2.0,0.2,N,
0.567,2.0,0.2,N,
0.6,2.0,0.2,N,
0.633,2.0,0.2,N,
0.667,2.0,0.2,N,
0.7,2.0,0.2,N,
0.734,3.0,0.2,N,
0.767,3.0,0.2,N,
0.8,3.0,0.2,N,
0.834,3.0,0.2,N,
0.867,3.0,0.2,N,
0.9,3.0,0.2,N,
0.934,3.0,0.2,N,
0.967,3.0,0.2,N,
1.0,3.0,0.2,N,
1.034,3.0,0.2,N,
1.067,4.0,0.2,N,
1.101,4.0,0.2,N,
1.134,4.0,0.2,N,
1.167,4.0,0.2,N,
1.201,4.0,0.2,N,
1.234,4.0,0.2,N,
1.267,4.0,0.2,N,
1.301,4.0,0.2,N,
1.334,4.0,0.2,N,
1.368,4.0,0.2,N,
1.401,4.0,0.2,N,
1.434,4.0,0.2,N,
1.468,4.0,0.2,N,
1.501,4.0,0.2,N,
1.534,4.0,0.2,N,
1.568,4.0,0.2,N,
1.601,5.0,0.2,N,
1.634,5.0,0.2,N,
1.668,5.0,0.2,N,
1.701,5.0,0.2,N,
1.735,5.0,0.2,N,
1.768,5.0,0.2,N,
1.801,5.0,0.2,N,
1.835,5.0,0.2,N,
1.868,5.0,0.2,N,
1.901,5.0,0.2,N,
1.935,5.0,0.2,N,
1.968,5.0,0.2,N,
2.002,5.0,0.2,N,
2.035,5.0,0.2,N,
2.068,5.0,0.2,N,
2.102,5.0,0.2,N,
2.135,5.0,0.2,N,
2.168,5.0,0.2,N,
2.202,5.0,0.2,N,
2.235,5.0,0.2,N,
2.268,5.0,0.2,N,
2.302,5.0,0.2,N,
2.335,5.0,0.2,N,
2.369,5.0,0.2,N,
2.402,5.0,0.2,N,
2.435,5.0,0.2,N,
2.469,5.0,0.2,N,
2.502,5.0,0.2,N,
2.535,5.0,0.2,N,
2.569,5.0,0.2,N,
2.602,5.0,0.2,N,
2.635,5.0,0.2,N,
2.669,5.0,0.2,N,
2.702,5.0,0.2,N,
2.736,5.0,0.2,N,
2.769,5.0,0.2,N,
2.802,5.0,0.2,N,
2.836,5.0,0.2,N,
2.869,5.0,0.2,N,
2.902,5.0,0.2,N,
2.936,5.0,0.2,N,
2.969,5.0,0.2,N,
3.003,5.0,0.2,N,
3.036,5.0,0.2,N,
3.069,6.0,0.2,N,
3.103,6.0,0.2,N,
3.136,6.0,0.2,N,
3.169,6.0,0.2,N,
3.203,6.0,0.2,N,
3.236,6.0,0.2,N,
3.269,6.0,0.2,N,
3.303,6.0,0.2,N,
3.336,7.0,0.2,N,
3.37,7.0,0.2,N,
3.403,7.0,0.2,N,
3.436,7.0,0.2,N,
3.47,7.0,0.2,N,
3.503,7.0,0.2,N,
3.536,7.0,0.2,N,
3.57,7.0,0.2,N,
3.603,8.0,0.2,N,
3.636,8.0,0.2,N,
3.67,8.0,0.2,N,
3.703,8.0,0.2,N,
3.737,8.0,0.2,N,
3.77,8.0,0.2,N,
3.803,8.0,0.2,N,
3.837,8.0,0.2,N,
3.87,8.0,0.2,N,
3.903,8.0,0.2,N,
3.937,8.0,0.2,N,
3.97,8.0,0.2,N,
4.004,8.0,0.2,N,
4.037,9.0,0.2,N,
